file_name	library_size
SM-GE5VE_S030_E1-50	2641218.0
SM-GE4RC_S046_E1-50	2581396.0
SM-GE8YI_S046_E1-50	2909152.0
SM-GE8XQ_S147_E1-50	371542.0
SM-GE4RV_S167_E1-50	2475034.0
SM-GE93P_S027_E1-50	3011270.0
SM-GE8YI_S036_E1-50	3060380.0
SM-GE8XF_S069_E1-50	2434688.0
SM-GE4QF_S013_E1-50	0.0
SM-GE8YK_S023_E1-50	616386.0
SM-GE62S_S125_E1-50	2343766.0
SM-GE8ZX_S136_E1-50	2777806.0
SM-GE4Q7_S112_E1-50	0.0
SM-GE91Q_S065_E1-50	2727582.0
SM-GE4W2_S147_E1-50	
SM-GE5QL_S126_E1-50	2538640.0
SM-GE64F_S176_E1-50	2645386.0
SM-GE5U1_S170_E1-50	2353074.0
SM-GE5TI_S174_E1-50	2771664.0
SM-GE8X7_S130_E1-50	2129306.0
SM-GE5OW_S180_E1-50	636316.0
SM-GE4RN_S052_E1-50	3182702.0
SM-GE4RC_S050_E1-50	2673624.0
SM-GE8WX_S046_E1-50	2344762.0
SM-GE8X2_S159_E1-50	2908408.0
SM-GE95A_S081_E1-50	2556406.0
SM-GE918_S024_E1-50	2440650.0
SM-GE8ZP_S187_E1-50	2766968.0
SM-GE4S1_S146_E1-50	2303982.0
SM-GE93V_S051_E1-50	2998008.0
SM-GE65C_S098_E1-50	2489870.0
SM-GE94B_S126_E1-50	2573336.0
SM-GE8XW_S029_E1-50	2397048.0
SM-GE5PA_S121_E1-50	3273460.0
SM-GE8YI_S053_E1-50	3299470.0
SM-GE681_S041_E1-50	2550610.0
SM-GE918_S014_E1-50	2707516.0
SM-GE5TM_S189_E1-50	2768226.0
SM-GE4VK_S069_E1-50	2275892.0
SM-GE64F_S125_E1-50	2503534.0
SM-GE5UU_S048_E1-50	3573998.0
SM-GE8X4_S164_E1-50	2634908.0
SM-GE4RN_S067_E1-50	2793194.0
SM-GE8XF_S046_E1-50	4284718.0
SM-GE8X4_S148_E1-50	2752254.0
SM-GE94B_S185_E1-50	2641522.0
SM-GE5UU_S019_E1-50	1806904.0
SM-GE932_S094_E1-50	3538822.0
SM-GE95A_S016_E1-50	3051238.0
SM-GE5QL_S117_E1-50	2616534.0
SM-GE5UQ_S103_E1-50	2227566.0
SM-GE681_S029_E1-50	3034042.0
SM-GE4Q8_S091_E1-50	2323676.0
SM-GE8XZ_S107_E1-50	3167666.0
SM-GE5U1_S175_E1-50	1902294.0
SM-GE4QF_S042_E1-50	2634942.0
SM-GE5QE_S035_E1-50	3063568.0
SM-GE5U8_S076_E1-50	2542656.0
SM-GE5UX_S184_E1-50	920746.0
SM-GE8YB_S045_E1-50	2971764.0
SM-GE95A_S007_E1-50	2759088.0
SM-GE5VR_S130_E1-50	3319762.0
SM-GE8XZ_S108_E1-50	3368846.0
SM-GE5W2_S024_E1-50	3007102.0
SM-GE8ZI_S159_E1-50	2816830.0
SM-GE4QZ_S146_E1-50	2569442.0
SM-GE5OW_S130_E1-50	2093348.0
SM-GE5PG_S004_E1-50	3177354.0
SM-GE5TI_S104_E1-50	2583954.0
SM-GE8Y4_S161_E1-50	3577474.0
SM-GE4VR_S162_E1-50	1906986.0
SM-GE8YK_S092_E1-50	3303180.0
SM-GE8YF_S022_E1-50	2642364.0
SM-GE8XF_S093_E1-50	3411078.0
SM-GE4RS_S017_E1-50	2929446.0
SM-GE93J_S017_E1-50	3149796.0
SM-GE4XY_S076_E1-50	1907458.0
SM-GE937_S122_E1-50	2441570.0
SM-GE8XW_S035_E1-50	1679518.0
SM-GE65C_S142_E1-50	3746548.0
